Query;F1
00001;0.28571428571428575
00002;0.14814814814814817
00003;0.25287356321839083
00004;0.19999999999999998
00005;0.2275449101796407
00006;0.27450980392156865
00007;0.2121212121212121
00008;0.0
00009;0.20289855072463767
00010;0.38235294117647056
00011;0.4
00012;0.0
00013;0.3225806451612903
00014;0.25316455696202533
00015;0.2677165354330709
00016;0.1504424778761062
00017;0.14432989690721648
00018;0.06666666666666667
00019;0.16161616161616163
00020;0.5581395348837209
00021;0.14545454545454545
00022;0.26262626262626265
00023;0.04
00024;0.052631578947368425
00025;0.23376623376623376
00026;0.2903225806451613
00027;0.23529411764705885
00028;0.15625000000000003
00029;0.10909090909090909
00030;0.35714285714285715
00031;0.29333333333333333
00032;0.15384615384615383
00033;0.4
00034;0.2962962962962963
00035;0.2
00036;0.16666666666666666
00037;0.4428571428571429
00038;0.22222222222222224
00039;0.18750000000000003
00040;0.08187134502923976
00041;0.21428571428571425
00042;0.24324324324324323
00043;0.310077519379845
00044;0.1875
00045;0.34782608695652173
00046;0.2962962962962963
00047;0.09523809523809522
00048;0.34090909090909094
00049;0.4727272727272728
00050;0.3
00051;0.02459016393442623
00052;0.5
00053;0.20833333333333331
00054;0.3764705882352941
00055;0.11764705882352941
00056;0.23728813559322032
00057;0.5098039215686274
00058;0.37037037037037035
00059;0.10191082802547771
00060;0.08695652173913045
00061;0.3773584905660377
00062;0.07058823529411765
00063;0.16
00064;0.18666666666666668
00065;0.2987012987012987
00066;0.11904761904761904
00067;0.358974358974359
00068;0.2222222222222222
00069;0.42857142857142855
00070;0.45714285714285713
00071;0.28571428571428575
00072;0.47058823529411764
00073;0.4390243902439025
00074;0.23076923076923078
00075;0.36842105263157887
00076;0.33333333333333337
00077;0.059405940594059396
00078;0.08791208791208792
00079;0.12903225806451613
00080;0.1951219512195122
00081;0.25641025641025644
00082;0.33333333333333337
00083;0.2325581395348837
00084;0.3278688524590164
00085;0.1971830985915493
00086;0.35789473684210527
00087;0.05
00088;0.23076923076923075
00089;0.391304347826087
00090;0.39999999999999997
00091;0.09686609686609687
00092;0.1891891891891892
00094;0.21818181818181817
00095;0.4
00096;0.25
00097;0.22641509433962262
00098;0.23076923076923075
00099;0.7499999999999999
00100;0.39999999999999997
