Query;Precision
00001;0.4
00002;0.2
00003;0.2
00004;0.0
00005;0.8
00006;0.5
00007;0.3
00008;0.0
00009;0.2
00010;0.5
00011;0.8
00012;0.0
00013;0.4
00014;0.4
00015;0.9
00016;0.7
00017;0.4
00018;0.1
00019;0.0
00020;0.9
00021;0.0
00022;0.7
00023;0.1
00024;0.1
00025;0.2
00026;0.6
00027;0.2
00028;0.4
00029;0.1
00030;0.2
00031;0.7
00032;0.2
00033;0.8
00034;0.6
00035;0.5
00036;0.2
00037;0.8
00038;0.1
00039;0.5
00040;0.2
00041;0.3
00042;0.7
00043;0.9
00044;0.6
00045;0.4
00046;0.4
00047;0.1
00048;0.1
00049;0.7
00050;0.5
00051;0.1
00052;0.1
00053;0.1
00054;0.8
00055;0.1
00056;0.2
00057;0.8
00058;0.6
00059;0.2
00060;0.2
00061;0.9
00062;0.4
00063;0.1
00064;0.2
00065;0.5
00066;0.3
00067;0.3
00068;0.1
00069;0.6
00070;0.5
00071;0.3
00072;0.6
00073;0.4
00074;0.2
00075;0.5
00076;0.5
00077;0.1
00078;0.0
00079;0.1
00080;0.2
00081;0.4
00082;0.5
00083;0.5
00084;0.7
00085;0.0
00086;0.4
00087;0.1
00088;0.1
00089;0.3
00090;0.9
00091;0.6
00092;0.8
00094;0.2
00095;0.3
00096;0.1
00097;0.5
00098;0.3
00099;0.3
00100;0.3
