Query;F1
00001;0.27272727272727276
00002;0.17391304347826086
00003;0.1791044776119403
00004;0.25
00005;0.1794871794871795
00006;0.25
00007;0.16216216216216214
00008;0.0
00009;0.2040816326530612
00010;0.40625000000000006
00011;0.46376811594202894
00012;0.0
00013;0.2926829268292683
00014;0.1492537313432836
00015;0.1724137931034483
00016;0.13207547169811323
00017;0.13513513513513514
00018;0.07407407407407407
00019;0.0909090909090909
00020;0.5205479452054794
00021;0.0
00022;0.20930232558139533
00023;0.11764705882352938
00024;0.0588235294117647
00025;0.06779661016949153
00026;0.26086956521739135
00027;0.23529411764705885
00028;0.13114754098360654
00029;0.0392156862745098
00030;0.41025641025641024
00031;0.2058823529411765
00032;0.1142857142857143
00033;0.3846153846153846
00034;0.2641509433962264
00035;0.2641509433962264
00036;0.19047619047619047
00037;0.34375
00038;0.05405405405405406
00039;0.10989010989010987
00040;0.024844720496894408
00041;0.26086956521739135
00042;0.25
00043;0.31746031746031744
00044;0.12903225806451613
00045;0.2941176470588235
00046;0.2857142857142857
00047;0.027777777777777776
00048;0.3
00049;0.3333333333333333
00050;0.28571428571428575
00051;0.008264462809917356
00052;0.5
00053;0.13953488372093023
00054;0.36585365853658536
00055;0.06666666666666667
00056;0.10256410256410256
00057;0.4691358024691358
00058;0.16216216216216217
00059;0.026666666666666665
00060;0.10810810810810811
00061;0.36
00062;0.061728395061728406
00063;0.04651162790697674
00064;0.07017543859649124
00065;0.17886178861788618
00066;0.08
00067;0.32
00068;0.04081632653061225
00069;0.48
00070;0.45161290322580644
00071;0.2727272727272727
00072;0.5
00073;0.39999999999999997
00074;0.18181818181818182
00075;0.3333333333333333
00076;0.37037037037037035
00077;0.021505376344086023
00078;0.0
00079;0.06779661016949153
00080;0.10526315789473684
00081;0.2285714285714286
00082;0.1492537313432836
00083;0.23809523809523808
00084;0.3636363636363636
00085;0.0
00086;0.36781609195402304
00087;0.05
00088;0.10526315789473682
00089;0.2857142857142857
00090;0.46511627906976755
00091;0.07692307692307691
00092;0.14084507042253522
00094;0.08333333333333333
00095;0.42857142857142855
00096;0.14285714285714285
00097;0.2857142857142857
00098;0.26086956521739135
00099;0.6666666666666665
00100;0.39999999999999997
